web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,banios,metros
"1615150586-6","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Renta de Amplio departamento con 2 recamara, ubicado en Fraccionamiento Milenio","$ 14,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","175 m²
                                    
                                
                                Construidos"
"1615150586-28","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento en Renta, en Milenio 3a. Sección, Querétaro","$ 9,000","2
                                    
                                
                                Recámaras","1
                                    
                                
                                Baño","80 m²
                                    
                                
                                Construidos"
"1615150586-7","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento en renta sin muebles, 88 m2, 2 recamaras, 2 baños, estancia, cocina","$ 11,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","88 m²
                                    
                                
                                Construidos"
"1615150586-4","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","RENTA DEPARTAMENTO EN TERRANTO MILENIO III","$ 15,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","120 m²
                                    
                                
                                Construidos"
"1615150586-21","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento para RENTA a estrenar en Milenio III","$ 14,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","125 m²
                                    
                                
                                Construidos"
"1615150586-30","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","RENTA DEPARTAMENTO MILENIO III","$ 16,500","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","120 m²
                                    
                                
                                Construidos"
"1615150586-17","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento en renta en Milenio III, Qro.","$ 22,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","null"
"1615150586-29","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Bonito Departamento en Renta Nuevo con excelente iluminación en LumaCity Milenio III","$ 23,500","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","182 m²
                                    
                                
                                Construidos"
"1615150586-13","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento Amueblado en Milenio III a 4 minutos de los Arcos, y Av. Constituye","$ 13,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","110 m²
                                    
                                
                                Construidos"
"1615150586-18","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","PentHouse en renta amoblado con todos los servicios incluidos en Milenio YCC","$ 27,000","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","246 m²
                                    
                                
                                Construidos"
"1615150586-24","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento en Renta, en Milenio 3a. Sección, Querétaro","$ 12,800","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","135 m²
                                    
                                
                                Construidos"
"1615150586-23","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","EN RENTA! PENTHOUSE DENTRO DE HÖME COTO CLUB, MILENIO III.","$ 23,000","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","129 m²
                                    
                                
                                Construidos"
"1615150586-25","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","EXCELENTE OPCION DE DEPARTAMENTO AMUEBLADO!!!","$ 15,200","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","140 m²
                                    
                                
                                Construidos"
"1615150586-20","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento en Renta, en Milenio 3a. Sección, Querétaro","$ 15,500","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","135 m²
                                    
                                
                                Construidos"
"1615150586-27","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Loft en Renta, en Milenio 3a. Sección, Querétaro","$ 6,000","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","35 m²
                                    
                                
                                Construidos"
"1615150586-16","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","RENTA DEPARTAMENTO MILENIO III A 8 MIN DEL CENTRO","$ 15,320","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","93 m²
                                    
                                
                                Construidos"
"1615150586-26","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Hermoso Depa de 2 Recámaras y 2 Baños en Milenio III Ofp Ex-461","$ 20,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","106 m²
                                    
                                
                                Construidos"
"1615150586-8","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento en Renta, en Milenio 3a. Sección, Querétaro","$ 8,000","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","60 m²
                                    
                                
                                Construidos"
"1615150586-12","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","DEPARTAMENTO EN RENTA EN QUERETARO Milenio 3a. Sección","$ 18,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","147 m²
                                    
                                
                                Construidos"
"1615150586-1","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Se Renta Departamento AMUEBLADO en MILENIO, Hermosa Vista, Equipado !!","$ 15,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","135 m²
                                    
                                
                                Construidos"
"1615150586-10","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","MILENIO III DEPARTAMENTO EN RENTA DE 3 RECAMARAS CON TERRAZA EDF CON AMENIDADES","$ 14,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","146 m²
                                    
                                
                                Construidos"
"1615150586-14","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento en Renta en Milenio 3a. Sección","$ 13,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","93 m²
                                    
                                
                                Construidos"
"1615150586-9","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento en Renta en Milenio 3a. Sección","$ 15,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","100 m²
                                    
                                
                                Construidos"
"1615150586-22","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Loft en Renta, en Milenio 3a. Sección, Querétaro","$ 7,500","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","40 m²
                                    
                                
                                Construidos"
"1615150586-2","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento Amueblado en Renta en Milenio III, Qro","$ 9,900","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","50 m²
                                    
                                
                                Construidos"
"1615150586-11","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento amueblado y equipado en Renta. Milenio III en 2° piso con 3 recámaras y ...","$ 13,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","172 m²
                                    
                                
                                Construidos"
"1615150586-5","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento - Milenio","$ 26,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","162 m²
                                    
                                
                                Construidos"
"1615150586-19","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Moderno y amplio departamento trirecámaras planta baja en Milenio III","$ 12,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","130 m²
                                    
                                
                                Construidos"
"1615150586-15","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Depto, MILENIO, vista panóramica , Centros comerciales y màs","$ 13,800","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","110 m²
                                    
                                
                                Construidos"
"1615150586-3","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn","Departamento en renta  en Milenio III, Qro.","$ 17,500","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","170 m²
                                    
                                
                                Construidos"
